LanguageId;CountryId;Name;Capital;Population;SquareArea;DensityPerKm;Flag
2;1;Afghanistan;Kabul;24316392;645807;37.65;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B700000030504C5445000000FFFFFF7F0000FF0000FF7F00FFBF00FFFF0000FF0000BF00007F007FBFFF0000FF00007F803F00808080C0C0C0B75A22570000006E4944415478DAEDD23B0EC0200C0350AE60F924562ED963D7D08AA9A695BA920186C72709B436A3661C33DAE62FAC15EBF2C05A1FCE022806F666929ED26E012846668DE19951F0ED04031B7B7A819D33DFD837A4C274F73530FA0A211636328F758B6E2AF293B0777DFFF3BF7C02FF0EFFA39EAD53000000000049454E44AE426082
2;34;Albanija;Tirana;3187009;28748;110.90;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B700000030504C5445000000FFFFFF7F0000FF0000FF7F00FFBF00FFFF0000FF0000BF00007F007FBFFF0000FF00007F803F00808080C0C0C0B75A2257000000A54944415478DACD934D12C520088333930B6586FBDFAD888FBA30BA78ABDA3FE5138C1411D7866F608139120183450160E40BCBBA30F29E78F4773CBC1257941D0FABEACAEF21784117BC24CF0944D8B557DBBDB12688C69B4DE99443EDAE93B4F676D29A132E6BE44FDCE8B98DBD6B5B6957E593AB9266A531E61F49A3F1CE4CA52690ACFE1EBC95BBE085A57A604B31585BA67CA58E610A0C9DEB9CF763C04F1EC13FF003D9D4ACD5751185750000000049454E44AE426082
2;71;Alžirija;Algiers;35019956;2381741;14.70;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B700000030504C5445000000FFFFFF7F0000FF0000FF7F00FFBF00FFFF0000FF0000BF00007F007FBFFF0000FF00007F803F00808080C0C0C0B75A2257000000644944415478DA63E8400582A8806198481B0381214E696330C025DD0C961436C6210DD36A88551AA4198FD380D21678A48D094A83FD6D884FDA5818AFB4B0B1315EC351028E54DDA8814E92CB2DC80F3502614E20C608C53781D44228AD0DDF3C86210D00023531878AE8B4DD0000000049454E44AE426082
2;119;Ameriška Samoa;Pago Pago;71364;197;362.30;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B700000030504C5445000000FFFFFF7F0000FF0000FF7F00FFBF00FFFF0000FF0000BF00007F007FBFFF0000FF00007F803F00808080C0C0C0B75A2257000000EA4944415478DA8594BD16C2200C85C3E0C839C950371FA28717D101673AE88BBA3AD0C19177913FA5B404583FEEBD69120A6FFEBCD40C3C558A083A52E27190B258A9590A0E075FB41C8EBED2B5712A099D6B66E792641367481767E1609E7C93D8BA1545857F524FAD73D656B848435DD2876331DFC088FD594B76F18D27E27FE595349BFBF08C77D2F8615666AC76D2A4F73D5F3935C67C367B5A423E7195877EC88FDE36B5BA30690D02AA9E9704D45781B0EC27B6354020E2278637A2CEBC9F341960B7E57C3F9D4CDC87F6AE3D8CAFAEB3A9A6997D183EFB4A7A78F0C6862F74F4BE877F8770E10BAF5001BF2FA006350000000049454E44AE426082
2;124;Andora;Andorra la Vella;88815;464;191.40;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B700000030504C5445000000FFFFFF7F0000FF0000FF7F00FFBF00FFFF0000FF0000BF00007F007FBFFF0000FF00007F803F00808080C0C0C0B75A2257000000784944415478DAE593510AC0200C430B859C4718789E40C1D3EE506B37F02FFDDA9FA17E3D1AAD51BBB7D6D6B565476016A3C209C82AD16DAFA4B9CFC9980AC3E185A1BA1189A1CCB1468B83CDDECC63E7A236F775011DCEADD5608963E8C13E739D58DEA835185DA09996556ABA1B55FAB510277E83BFF1031CCEE08E5FC19B870000000049454E44AE426082
2;132;Angola;Luanda;17296723;1246700;13.87;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B700000030504C5445000000FFFFFF7F0000FF0000FF7F00FFBF00FFFF0000FF0000BF00007F007FBFFF0000FF00007F803F00808080C0C0C0B75A2257000000704944415478DAE5CF310AC030088561272F14C87904E1BFFF112A194A53AB4BB75642964FF3A28CB6E4273CBD657A1EEC0D299B667AC6A1E409B778491F2FA77DB8AF806726AF2E69E99D2FA5AC5BAA425B56B3E891DAC3B06A360CA5195DCF578CA836D18061359BD67836BDE26FD4011B997B94D0B0CCF00000000049454E44AE426082
2;151;Angvila;The Valley;15506;96;161.50;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B70000000774494D4507D70C1608362A2FD96A6E000000097048597300001EC100001EC101C36954530000000467414D410000B18F0BFC61050000000F504C544500007F007FFFFFFFFFFF7F00FF000082FB97BF000000A94944415478DADDD14112C320080550E209DA1B74BE9E006FE078FF3315814ED294924D57FD0BB378A24168E241449843566ABA1E53D48D317066A980B3EC240A7DB19D13BA7069B19280701B91C232877DCF3CDFF35BBEB8FB82D70E695CFAC60CFB16B5570BBDAC31E99BE373605EE31373D7BFB093EC449F379A737DB1DDE75CE0CC95E3F92877EE48B8E6D5604E0FEFC8B832B2BBF7C6A26C77C92D67FA9EB458CB29CB467F9E27466C2EC6E55D4E630000000049454E44AE426082
2;152;Antarktika;NULL;1169;14000000;0.00;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B70000000774494D4507D70C140B32381043A8F0000000097048597300004E2000004E2001167D99DE0000000467414D410000B18F0BFC610500000006504C544500007FFFFFFF96852F17000001094944415478DA7D94091642310803C90DC8FD2F2BA114BB699FCBB7D35056CDAD16E2CD583E1EE76E7307E3431BBDC585E783B4EE8BC136451BB805F5CD3A5AEAB865BFB6748DC7E5ED810D6FF5E27C2A9B93EB2C9D2091BF579AAA0CAD3060DB4A098465C10E6AAE2D4903C701F713A74D0EF34BE2CA760AE477E81FD8BCCC324DE381112BA4BCB0F24289C59F388AEDB1AFE8C81BFBE88572BDCBD86BCFE2B6E7794EC11FEACDB52C0DDFD8BE9ED3AFB86119B712E3BCD3824C67D8A0E181556DFE28893C42AA5452BF3147872AE5B8EB3D3B28B0F34C794D0633B510C64E2B72E54527FDE8E3EAEE2AD6DEE7FFA7E49C316C3336AD604AF0F5681944857ECDF7F2EF504DB0CC263FF3B71216E36D3FD20000000049454E44AE426082
2;160;Antigva in Barbuda;Saint John's;86654;435;199.10;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B700000030504C5445000000FFFFFF7F0000FF0000FF7F00FFBF00FFFF0000FF0000BF00007F007FBFFF0000FF00007F803F00808080C0C0C0B75A2257000000B64944415478DA85CD311285200C45D1CC3843EFB8119857BA9954D9A0E5DFDC57504802621A8BC37D52A4E961860BC1E6EC5AC0B17AB05C1C2D2A8663210EACE28BEB7A20092CE7C7F293070E22724ED4EDCC35977CDCE2C2B1B41432D3DDE3E192172C0FEE58333DCA35BE390EFEAD18663B3F5834EF3F7FD00CAF87E57D18BFF1E1181FBC8FB61B63142B4E6B3BF48CA6DB9C31E2D4C79AF1C1A9DB368C2EB69C7C3CE0ED95E163C769CE70DB9E938D3D639BB3BB3FFF9DDBC2F5EF37510000000049454E44AE426082
2;168;Argentina;Buenos Aires;40245814;2777409;14.49;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B70000000774494D4507D70C1608352B73F3093B000000097048597300001EC100001EC101C36954530000000467414D410000B18F0BFC61050000000C504C5445007FFFFFFFFFFFFF000000006AE66A6A000000464944415478DAEDD0B11500200C424157D04C109840DC7F377B7D6267E56FAF2129E5F7BC6A5BB8D17124E118A463611896A07EE68432CFDC18761AEDB4CBDDB7AF6DFC7BDE0425571A255D6637BD0000000049454E44AE426082
